PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
203503,Tony Snell,CHI,0.594,-1.38,0.22,-1.17,-0.07,-0.66,0.53,0.35,-0.09,0.29,-1.6
201166,Aaron Brooks,CHI,0.594,-0.3,-1.94,-2.24,0.92,0.87,-1.71,-0.36,-1,-0.01,-2.3
2550,Kirk Hinrich,CHI,0.594,-1.91,-0.38,-2.29,-0.44,0.23,0.01,-0.14,-0.26,0.47,-2.3
201565,Derrick Rose,CHI,0.594,-1.92,-0.78,-2.7,0.28,1.17,-2.12,0.5,-1.52,0.32,-2.7
2544,LeBron James,CLE,0.629,1.83,0.04,1.87,1.59,2.22,-2.33,0.43,-0.27,0.18,1.3
202681,Kyrie Irving,CLE,0.629,1.7,-0.69,1.01,1.09,1.04,-0.51,0.14,-0.08,-0.21,0.6
201567,Kevin Love,CLE,0.629,0.52,-0.03,0.49,0.74,-0.4,0.4,0.23,0.26,-0.03,0.1
2760,Anderson Varejao,CLE,0.629,-0.13,-0.73,-0.86,0.46,-0.56,0.52,-0.06,0.19,-0.24,-1.3
202684,Tristan Thompson,CLE,0.629,-0.35,-0.7,-1.04,0.03,-1.15,1.62,0.3,-0.41,-0.18,-1.3
1890,Shawn Marion,CLE,0.629,-1.59,0.33,-1.26,-0.47,-0.57,1,0.64,-0.05,0.03,-1.5
202389,Timofey Mozgov,CLE,0.629,-1.2,-0.38,-1.58,0.18,-1.18,0.68,0.55,-0.33,-0.26,-1.7
2747,J.R. Smith,CLE,0.629,-0.92,-1.27,-2.19,0.13,0.35,-0.33,-0.16,0.08,-0.44,-2.2
202697,Iman Shumpert,CLE,0.629,-1.57,-0.84,-2.41,0,0.42,-0.68,-0.2,0.73,-0.51,-2.4
2034,Mike Miller,CLE,0.629,-1.79,-0.7,-2.49,-0.4,-0.21,0.4,0.08,-0.09,-0.15,-2.5
202697,Iman Shumpert,CLE,0.629,-2.61,-0.54,-3.15,0,-0.42,-0.81,-0.2,1.07,-0.51,-3
203521,Matthew Dellavedova,CLE,0.629,-0.64,-3.22,-3.86,-0.33,1.03,0.16,-0.73,-1.23,-0.47,-3.5
202329,Al-Farouq Aminu,DAL,0.638,-0.78,3.3,2.52,-0.04,-0.61,0.92,1.2,1.47,0.71,1.3
2199,Tyson Chandler,DAL,0.638,1.32,0.96,2.28,0.81,-0.77,1.25,0.54,0.38,0.32,1.6
2734,Devin Harris,DAL,0.638,0.7,0.48,1.19,0.33,1.11,-0.02,0.43,0.44,0.05,0.5
1717,Dirk Nowitzki,DAL,0.638,1.68,-0.5,1.18,1.26,-0.23,0.26,0.21,-0.26,-0.03,0.6
202718,Chandler Parsons,DAL,0.638,0.55,0.4,0.95,0.69,-0.19,0.32,0.52,0.11,0.11,0.5
101145,Monta Ellis,DAL,0.638,0.2,0.68,0.88,0.61,1.18,-1,0.58,0.34,0.11,0.5
200826,Jose Juan Barea,DAL,0.638,0.5,-0.61,-0.1,-0.04,1.89,-0.18,0.21,-0.37,-0.01,-0.6
2210,Richard Jefferson,DAL,0.638,-0.36,-0.06,-0.42,0.33,-0.35,0.37,0.21,-0.13,0.24,-0.9
200765,Rajon Rondo,DAL,0.638,-1.79,0.16,-1.63,-0.85,3.25,-1.76,-0.22,0.71,0.32,-1.8
201951,Ty Lawson,DEN,0.382,1.75,-0.99,0.76,0.33,3.22,-0.98,0.22,-0.44,-0.27,0.4
